"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"","2025-02-19 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.53150","-0.0097","","","","","",""
"109","2025-02-20 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-30.40420","","","","-0.1470","","","86550.05"
"","2025-02-20 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.94940","-0.0122","","","","","",""
"","2025-02-20 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.45480","-0.0083","","","","","",""
"110","2025-02-21 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.65130","","","","-0.1320","","","86520.39"
"","2025-02-21 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.34450","-0.0120","","","","","",""
"","2025-02-21 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.30680","-0.0056","","","","","",""
"111","2025-02-22 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86520.39"
"","2025-02-22 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0120","","","","","",""
"","2025-02-22 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0056","","","","","",""
"112","2025-02-23 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","86520.39"
"","2025-02-23 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","0.00000","-0.0120","","","","","",""
"","2025-02-23 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","0.00000","-0.0056","","","","","",""
"113","2025-02-24 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","-29.63930","","","","-0.1439","","","86490.75"
"","2025-02-24 10:00:00 -12","DAILY_FINANCING","Trade ID: 47","EUR/CAD","","","","","","","","-29.36530","-0.0120","","","","","",""
"","2025-02-24 10:00:00 -12","DAILY_FINANCING","Trade ID: 62","USD/HKD","","","","","","","","-0.27400","-0.0050","","","","","",""
"114","2025-02-25 02:51:45 -12","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","2000000.00","Sell","","1.05100","1.04950","","","","","","","","",""
